gene_name,p-value_Neo_IP,fold_change_Neo_IP,p-value_Van_IP,fold_change_Van_IP
Gm5831,0.007500332057489,0.8493096970780879,0.0176303372499863,1.812393596361615
Gm5845,0.032783673487104,-1.126569815753817,0.0213967781428838,-2.017287118692571
Gm6440,0.0223244662477748,-1.5718240270621913,0.029588463356331,-2.055935527987033
Gm6576,0.0433929625110966,-0.7645174795448991,0.0241402130117729,-0.9443325512930784
Gm6905,0.0051745038939934,-1.1253823359628694,0.0393510345353667,-1.0412217666706602
Gm7507,0.0074725979808355,-1.0877452213102798,0.0392888934461058,-0.5157001895987801
Gm9351,0.0413926829536259,inf,0.0074830515271229,inf
Gm9493,0.0470541116774756,-1.76539657719538,0.0407177853493352,-2.487107113204745
Gm973,0.0168979572189153,1.8684605683552864,0.0202666278626027,1.9471193440176289
Gnai2,0.049424656893482,0.6844216257204804,0.002945211309683,1.7985975675202006
Golga2,0.0366392661818363,0.2809668518457971,0.0201117063735512,0.4655976976100678
Golga7,0.0128465943428565,0.27484260081518,0.0129552078200271,0.3043718753966908
Gpat4,0.0020933125577227,0.9020871779855004,0.0026392474317169,1.227009607611029
Gpatch2l,0.0301209714079589,0.0623373358931614,0.0289124368457495,0.3342744198857283
Gpd1l,0.0099363266665867,0.3819519164318371,0.0495929469767485,0.323515010441569
Gprc5c,0.0137653104733589,0.5538022241945446,0.0437956146419837,0.8079477048468552
Grb2,0.0059513125080194,0.468878812763933,0.0119712750848477,0.5582380021663772
Grk5,0.0480253938529384,0.2324401460540509,0.0406457777503285,0.6681697242664806
Gsk3b,0.011173350320687,0.4172417978559312,0.0119582972846026,0.4396311881581753
Gtf2e1,0.0332644951520986,0.3017389921499995,0.0147909651038827,0.7601771709566829
Gtf3c1,0.0226653244610026,0.630872639438732,0.0178717378454323,0.6433120505902933
Gtf3c4,0.027107770265268,0.2944543581137898,0.016996473743986,0.4513780141758515
Gtpbp1,0.0003042639050026,0.860594498002713,0.0035221456731302,0.9514764953088656
Gys1,0.0090908987583733,0.4766496446371506,0.0484187999749954,0.3363323951423548
H4c14,0.0380735400193975,1.0171486569842074,0.001388973163078,1.3238312506554444
H6pd,0.0424884713048995,0.2784503588786108,0.0123562796091506,0.7599586228913263
Haus3,0.0259461947865712,-1.089539022481669,0.0129357001999193,-1.1943898859705029
Heatr5b,0.0094876351984213,0.4993681767077252,0.0065343656785796,0.6303522468275039
Hira,0.0146729901939808,0.2548643757942886,0.0049019042303764,0.4082919954203481
Hivep1,0.0057562648462946,0.6421560835098552,0.0393127231661284,0.8764661193821963
Hk1,0.0118689239403295,0.5097366097026995,0.0303086836338951,0.3807700138332811
Hspa4,0.0365431548919896,0.1943247056203204,0.0216857466060375,0.2406124698957198
Hspa4l,1.472232512899844e-05,1.1240531426153944,0.0011299147961926,1.597243281573837
Hyou1,0.039481205381383,0.2292026277933995,0.0055250564443693,0.4524797924938629
Igsf3,0.0095935821409778,0.4142402547005243,0.0085619246272162,0.4918741987971675
Ilrun,0.0016737973116551,0.3079832556278587,0.0013240875694628,0.3101254178824461
Impg2,0.0079253571257097,-0.8300461520093596,0.0038332178901676,-0.7627531648904854
Ints3,0.0100053829321345,0.4254418868955495,0.0169058448417316,0.620472568192557
Irf2bpl,0.0042961265163192,0.623357735373158,0.0145344112184719,0.944994574516194
Josd2,0.0271847849970651,0.3040708890451117,0.0365502111092336,0.528454194078189
Jrk,0.032122047226023,0.625568219395554,0.0102496147965553,0.6638490145955933
Jund,0.0159783538061335,0.3971313415355938,0.0003033734276262,0.543855912007866
Kbtbd2,0.0150046738047006,1.025477407181818,0.0327862346446325,0.9730082601243212
Kctd10,0.0169083294673055,0.3744108368442061,0.0081183348598291,0.6828909685088254
Kctd17,0.0386890949190208,0.5415266840880115,0.000163674474615,1.3712332517967745
Kctd20,0.0061932361039177,0.5388128470852822,0.0053078986515047,0.858777172414769
Kctd4,0.0189831889430474,1.520019466551174,0.0078228596737778,1.4869270658375813
Kdm5b,0.0282303127464808,0.5370032035594219,0.0095602680107193,0.6286469819721512
Kif1c,0.0042310756200925,0.3682554941433717,0.0010197464673158,0.4993472091906812
Klhl18,0.0049637826610698,0.3593030996948538,0.027712648233325,0.4635075534977688
